Num,Id,Created,User,Text,Likes,Retweets,Geolocation,Location,Language,User_Id,User_Name,User_Followers,User_Following
14,1338070472815222785,2020-12-13 10:37:15,Weisellos,"Bravo Deutschland... wünschte mir, dass unsere Politiker auch etwas mehr Mut hätten #lockdown #coronavirus #COVID #coronaInfoCH",0,0,,,de,377521919,Lukas Prokin,9,36
15,1338070463373844480,2020-12-13 10:37:13,lischa33,"RT @Procyon25: #Querdenken verboten, aber Gegendemonstrationen erlaubt? Offensichtlich wird das #Coronavirus nur instrumemtalisiert, regier…",0,17,,,de,767372338522382337,Lischa,101,114
16,1338070462664937473,2020-12-13 10:37:13,edladino_,"RT @MKuefner: Merkel announces full #coronavirus lockdown in Germany from Wednesday 16 Dec. 
- only food stores remain open
- schools mostl…",0,2,,"Hamburgo, Alemania",en,315645132,Ed Ladino 🇩🇪🌈 ❸,2015,2034
17,1338070456666968064,2020-12-13 10:37:11,newstrackmedia,आख़िर क्यों घबरा रहे हैं भारत के डाक्टर? #doctorsstrike #Doctor #coronavirus #Opinion #Newstrack https://t.co/fWsqT8KSfq,0,0,,India,hi,719406413416501248,Newstrack,4859,32
18,1338070454012170243,2020-12-13 10:37:11,KriznikMarjana,"@ARD_Presseclub Wenn die Zahl der Infizierten steigt, wie überall auf der Welt, gibt es auch mehr Tote. Tote in Zus… https://t.co/ooFwiRcY9I",0,0,,Düsseldorf,de,1184535612604452864,Marjana Križnik,33,122
19,1338070451596169216,2020-12-13 10:37:10,BaufMalou,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,182,,,fr,1315060569314070528,malou Bauf,101,266
20,1338070444629499904,2020-12-13 10:37:08,yerushazicke,"RT @watch_union: Ich kann es übrigens nicht mehr hören, dass die Politiker:innen die jetzige Lage nicht vorhersehen konnten. 

Die Kanzleri…",0,12,,Zwischen den Meeren,de,2331458721,Rusha,964,591
21,1338070438916861953,2020-12-13 10:37:07,Dit_Lane62,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,182,,Pas-de-Calais,fr,1062089045986156544,pizza🍕,172,578
22,1338070420189306885,2020-12-13 10:37:02,ianaswann2000,RT @RAF_Luton: BREAKING: Super Army Soldiers from #RAFLuton responded to reports of a man on the 08.17 train from Reading to Paddington not…,0,2,,"Sheffield, England",en,2887911448,ian,12,55
23,1338070418519957505,2020-12-13 10:37:02,cmenschel,Welchen Song spielt @wdr2 nach der  Eilmeldung und Merkel-Konferenzschalte vom neuen #coronavirus Lockdown? „Die pe… https://t.co/x53TUGyY90,0,0,,🇧🇪🇩🇪 🇳🇱,de,16627782,Christian Menschel,404,816
24,1338070418402529281,2020-12-13 10:37:02,Codacons,"""Tra le carte che i finanzieri guarderanno con più attenzione c’è quello relativo a numeri e gestione dei posti let… https://t.co/L9crjAhnE6",0,0,,Italia,it,244087105,Codacons,10825,997
25,1338070408851902464,2020-12-13 10:37:00,CQzom,"RT @CCTV: By 6 p.m. Friday, Chengdu, capital of Sichuan Province, had reported 10 confirmed COVID-19 cases and two asymptomatic cases in th…",0,1,,中華人民共和國🇨🇳福建福州,en,4831047668,呂隔麟,78,288
26,1338070408629637127,2020-12-13 10:37:00,SputnikMundo,"🇷🇺 Rusia registra 28.080 positivos y 488 muertes por COVID-19 en el último día

👉 https://t.co/5GJphvWCr1

#COVID_19 #coronavirus #pandemia",0,0,,"Moscú, Rusia",es,253020963,Sputnik Mundo,142728,357
27,1338070406733963270,2020-12-13 10:36:59,HFormiguinhas,"RT @DarrenEuronews: BREAK: Angela Merkel announces German national lockdown - Wednesday until Jan 10th #coronavirus

🔸Non essential shops t…",0,9,,Partout . Des que possible.,en,1180883172357214210,Henriqueta Formiguinhas,963,3288
28,1338070400148922370,2020-12-13 10:36:58,lisalucianndeux,@nytimes this story is a good example of why #coronavirus is not going anywhere soon. Talk about flouting the… https://t.co/d0fY25QPsO,0,0,,,en,1278639530862694401,Lisalucianndeux @🏠 🌻🇨🇦🌊,359,440
29,1338070399012237319,2020-12-13 10:36:57,Bebone76,RT @twizybaby1: Es würde das Vertrauen in die #Impfung erhöhen wenn sich erst der Bundestag impfen lassen würde. Deshalb ist die Idee gut.…,0,1,,Karlsruhe,de,2274964703,Herr F aus K,133,88
30,1338070397061885952,2020-12-13 10:36:57,ani_tah63,"Waarom wil niet iedereen een prikje? https://t.co/0Cv09Akpqe 

#coronamaatregelen #coronavirus #vaccinatie",0,0,,"Amersfoort, Nederland.",nl,801412367162740736,Anita HvH,59,111
31,1338070380846714880,2020-12-13 10:36:53,VElhanafi,Don't forget your mask 😷 #coronavirus #covid19 #ChinaVirus https://t.co/xKLQ2QnjWI,0,0,,,en,1337828821677072384,Va.elhanafi,5,19
32,1338070379827499008,2020-12-13 10:36:53,tron_80,"Söder lenkt perfekt davon ab, dass wir endlich anfangen, die Krise zu bewältigen - aber dass wir auch im Vorfeld ni… https://t.co/MvHnukrEBK",0,0,,"Bremen, Germany",de,15921868,Mathias Pohl #visionZero,176,443
33,1338070378774728704,2020-12-13 10:36:53,JohanHamstra1,"@MinPres u loopt nu al 9 maanden te kloten met het #coronavirus met geen resultaat.
Misschien een andere weg bewand… https://t.co/vLC0jyMLgi",0,0,,,nl,363001336,Johan Hamstra,67,361
34,1338070372835598336,2020-12-13 10:36:51,Ans2aan,HEAR HEAR!! #PCRtests #RIVM #coronavirus https://t.co/Y48vt0YVdo,0,0,,Wereldwijd,en,4822577287,Ans 👩‍⚖️⚖🆘,413,897
35,1338070367668203521,2020-12-13 10:36:50,elminiedip,"RT @MKuefner: Merkel announces full #coronavirus lockdown in Germany from Wednesday 16 Dec. 
- only food stores remain open
- schools mostl…",0,2,,South Africa,en,736583624972238848,🎄🎀Elminie🎀🎄,4404,1925
36,1338070350555439106,2020-12-13 10:36:46,Summers33456923,"#COVID19 #vaccine #coronavirus #skynews
NHS not maxxed out. Here's the facts. https://t.co/7OBiXMwiPs",0,0,,"Manchester, England",en,1316438449159839744,Mr Summers,837,1100
37,1338070349049593857,2020-12-13 10:36:46,LameziaInforma,"Riaprono almeno fino alle 18 bar ed attività di ristorazione con il servizio al tavolo, norme Covid permettendo… https://t.co/CNxTcHjUfd",0,0,,Lamezia Terme,it,1254577746,LameziaInforma,183,7
38,1338070343521603584,2020-12-13 10:36:44,danielalvarezay,RT @EFEnoticias: La Organización Mundial de la Salud (OMS) registró en las últimas 24 horas más de 13.000 muertes globales y 692.000 nuevos…,0,317,,"Barcelona, España",es,2924386070,Daniela Ayala 💙🐱,242,127
39,1338070336307400705,2020-12-13 10:36:42,RAF_Luton,BREAKING: Super Army Soldiers from #RAFLuton responded to reports of a man on the 08.17 train from Reading to Paddi… https://t.co/FgJ7oUMeKC,9,2,,Classified,en,1086325628536848385,RAF_Luton,36650,19
40,1338070325968384001,2020-12-13 10:36:40,krehlin9,LEUTE WACHT DOCH AUF DIE IMPFUNGEN WERDEN ÜBER WLAN VERTEILT #coronavirus #COVIDIOT https://t.co/F177Ew2YEM,6,1,,NRW,de,1249809068694396929,Krehlin,1147,263
41,1338070321396674562,2020-12-13 10:36:39,DietitianOnline,RT @TSUSNAPED: This unusual holiday season is upon us! Keeping hands clean is especially important to help prevent the #coronavirus from sp…,0,1,,United States,en,128679163,"Sandra Frank, EdD, RDN, FAND",14028,7014
42,1338070320356466688,2020-12-13 10:36:39,uklockdown,RT @SkyNews: #Coronavirus: German Chancellor Angela Merkel says existing measures have failed to get the #coronavirus outbreak under contro…,0,3,,"London, England",en,1241651808747040770,UK Lockdown #HandsFaceSpace,261,248
43,1338070317953060865,2020-12-13 10:36:38,neqxTheG,"RT @AlArabiya_Eng: #Germany will close shops from the middle of next week in a tightening of #coronavirus #lockdown restrictions.

https://…",0,23,,,en,1300173803176235009,Bennet 🦋,13,14
44,1338070314748665858,2020-12-13 10:36:37,YahyaULU5,"RT @NurSoz_: -Hastalara En Güzel Manevi Bir Reçete Olan Risale-i Nurdan Hastalar Risalesinden Çok Kısa Bir Bölüm -

Ey bîçâre hasta!  

Mer…",0,12,,,tr,1150354302789140480,Yahya ULU,155,311
45,1338070304229384194,2020-12-13 10:36:35,DirkOHeckmann,Söder weitet #Ausgangssperre von 21 bis 5:00 Uhr auf ganz Bayern aus. #Corona #Lockdown #CoronaVirusDE #coronavirus,0,0,,"Mal Alt-, mal Neuland",de,111275201,Dirk-Oliver Heckmann,2545,1015
46,1338070299418431489,2020-12-13 10:36:34,coriolano2011,"RT @Adnkronos: #Coronavirus, ""ecco perché si muore tanto in Italia"" https://t.co/Uf3Zan7dFo https://t.co/8wY9aYmZ2Z",0,2,,,it,796082544215212032,coriolanus,306,175
47,1338070297501691904,2020-12-13 10:36:33,5GenocIDe,#CovidVaccine #CoronaVaccine #covid_19 #COVID19 #COVIDー19 #coronavirus #covid #lockdown #vaccine #vaccination https://t.co/wGrE4eK4Cq,0,0,,🏴󠁧󠁢󠁳󠁣󠁴󠁿,und,2916005885,Eila-Fay Simpson Ⓥ,964,1180
48,1338070285749252097,2020-12-13 10:36:30,ILOVEPACALCIO,#Coronavirus #Germania: #Merkel pronta ad annunciare il lockdown totale https://t.co/IrNJm9N1y2,0,0,,Palermo,ro,365568209,I LOVE PALERMOCALCIO,3624,2265
49,1338070273082486785,2020-12-13 10:36:27,cinar_bahattin,"@anapaliahmet Maske=bordo bereliler,
Mesafe=İha/Siha ve Komandolar,
Temizlik =Hainlerin leşleri 
TAMAM… https://t.co/1dI1S2UaKT",0,0,,,tr,1307366593027026946,BAHATTİN ÇINAR,320,1127
50,1338070270452621315,2020-12-13 10:36:27,lilith001975,RT @DIndo1984: Als de politieke leiders zelf niet het goede voorbeeld nemen. Waarom zou de rest van de bevolking dan het advies wel moeten…,0,2,,,nl,1300723328227958786,Lilith001975,141,238
51,1338070258951860231,2020-12-13 10:36:24,TimmerNorbert,"Jaja, diese modernen Märchen... Schneewittchen und die 15 Zwerge ! 

#Coronavirus #Pressekonferenz https://t.co/GFtzY6k4oe",1,0,,,de,771995872150323200,Norbert Timmer,75,145
52,1338070252459003904,2020-12-13 10:36:22,beeemmwee,"RT @NiemalsD: Und natürlich Dankeschön an die AfD, die #Querdenken Sippe, die #Coronaleugner, dass wir endlich einen totalen #lockdown habe…",0,1,,,de,918228018799284224,Peter Kraus,541,1440
53,1338070248000544770,2020-12-13 10:36:21,Strahlemann9,"Stellt euch mal vor, das #coronavirus wäre in einer russischen Stadt ausgebrochen, in der sich ein Labor befindet,… https://t.co/WjLvCRk2o0",1,1,,NRW,de,1105131353228656642,Strahlemann,2321,311
54,1338070246033383434,2020-12-13 10:36:21,zwierlein,"RT @watch_union: In welcher Parallelwelt lebt Michael Müller?

Mit der Realität hat sein Geschwafel jedenfalls nichts zu tun. /TN #Coronavi…",0,4,,"Berlin, Germany",de,13023812,zwierlein,610,4999
55,1338070240685662208,2020-12-13 10:36:20,AdileHermana,"RT @Opinieleader: Uitvinder ‘VACCIN’ neemt het zelf NIET!

Jij wel????

#Corona #coronamaatregelen #coronatest #CoronaCrisis #coronavirus #…",0,24,,,nl,1122924209766830081,President Elect Adile's Hermana,129,279
56,1338070238131347461,2020-12-13 10:36:19,YorksPatriot,"Remember when lockdowns and restrictions were a reaction to the numbers.

Now they want to preemptively restrict yo… https://t.co/7M0OIJjn7E",0,0,,Barnsley,en,2394946081,Yorkshire Patriot (find me on Parler),342,427
57,1338070234905915393,2020-12-13 10:36:18,marcobuelow,"Söder1: „Die Schülerinnen und Schüler können sich darauf verlassen ...“
?? Die Schüler*innen und Lehrer*innen konnt… https://t.co/ytMHbmAxR9",7,0,,Dortmund / Berlin,de,52119203,Marco Bülow,23207,610
58,1338070231806320643,2020-12-13 10:36:18,animeheaven_DZ,"Der Harte #lockdown kommt ab Mittwoch !!!
Man hat es zwar milde versucht, aber jetzt muss er sein.
Einigen wir der… https://t.co/mfzS1jj8IT",0,0,,Deutschland,de,722870792833269760,Daniel Zacherl,629,566
59,1338070219034664961,2020-12-13 10:36:15,valleblaz,RT @EFEnoticias: La Organización Mundial de la Salud (OMS) registró en las últimas 24 horas más de 13.000 muertes globales y 692.000 nuevos…,0,317,,Écija,es,1231478790,Mari Valle Blázquez,496,465
60,1338070212659339265,2020-12-13 10:36:13,21stCentHaiku,"America halfway there 

600,000
We will probably tie it
The Civil War dead

#coronavirus",0,0,,"Gubat, Bicol Region",en,1150878610527588359,21stCenturyHaiku,3,0
61,1338070208695693312,2020-12-13 10:36:12,ReyenVan,@Chessie59937423 @InesvanBokhoven @georgevanhouts Een #PCRtest die #coronavirus aantoont bij een vrucht lijkt mij r… https://t.co/bWNxLhCrbN,0,0,,Nederland,nl,1379789035,peter van reyen,1149,1180
62,1338070174390505480,2020-12-13 10:36:04,Sammelbecken1,"RT @Procyon25: #Querdenken verboten, aber Gegendemonstrationen erlaubt? Offensichtlich wird das #Coronavirus nur instrumemtalisiert, regier…",0,17,,Deutschland,de,1057756811351207936,Sammelbecken,433,365
63,1338070163728449540,2020-12-13 10:36:01,KanmuriYuki,ドイツ:必要不可欠でない商店と学校、保育所の閉鎖。12／16から1／10まで。#germany #restrictions #coronavirus #covid19 #covid19germany #merkel https://t.co/dGTVDWXRFv,0,0,,qq. part entre le Nord de la France-Tokyo-Shanghai,ja,3046440436,冠ゆき,685,217
64,1338070157852356609,2020-12-13 10:36:00,ChristinaNeuma1,RT @rbb24: 🔴Bund und Länder beschließen harten Lockdown ab kommendem Mittwoch. #coronavirus https://t.co/SrIywvn3OC,0,3,,Berlin,de,416939272,Christina Neumann 😷,232,894
65,1338070156799594497,2020-12-13 10:36:00,Joe_Frr,And another #lockdown #coronavirus in #germany,0,0,,,en,91666878,Joe,36,129
66,1338070155511918592,2020-12-13 10:35:59,TSUSNAPED,This unusual holiday season is upon us! Keeping hands clean is especially important to help prevent the… https://t.co/CcLxwMTIjY,1,1,,"Nashville, TN",en,982320303391981568,SNAP-EDucation - TSU Cooperative Extension,198,1022
67,1338070150898192385,2020-12-13 10:35:58,hardy170399,"Söder redet davon, dass es besonders für junge Menschen schwer ist. Hat der sich mal die Querdenker-Demos angeschau… https://t.co/vdKshrv7tE",0,0,,Nordrhein-Westfalen (OWL),de,874314079976009731,Justin,222,189
68,1338070146292781057,2020-12-13 10:35:57,vivaDBSK,"RT @alvariteus: 🇰🇷 #URGENTE: #Corea de Sur marca hoy un nuevo récord de casos diarios de #coronavirus SARS-CoV-2, con 1.030 nuevos casos en…",0,4,,Zaragoza (España),es,144510923,Inés Borobia Díez,976,4994
69,1338070145613193218,2020-12-13 10:35:57,IlMattinoFoggia,"#Coronavirus , un po' di formaggio svizzero per i topi della disinformazione: prendete e leggetene tutti, è un omag… https://t.co/B8zoPAFBgc",0,0,,Foggia,it,337155946,Il Mattino di Foggia,8027,864
70,1338070121642856449,2020-12-13 10:35:51,Taitamco,"RT @CDHKedition: #HK registered 95 new #COVID19 infections on Sunday, including 41 local cases from untraceable sources — the highest spike…",0,3,,Poitiers 732!,en,2197038126,"Taitamco, former investor in #Mongolia",6212,6835
71,1338070101527044096,2020-12-13 10:35:47,Chak_Dz,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,182,,,fr,924584581550034945,Chak,376,299
72,1338070101208215555,2020-12-13 10:35:46,NiemalsD,"Und natürlich Dankeschön an die AfD, die #Querdenken Sippe, die #Coronaleugner, dass wir endlich einen totalen… https://t.co/qkQrQ7iWGQ",10,1,,"Mannheim, Baden-Württemberg",de,1174205566014676994,NiemalsAfD,5432,5400
73,1338070100147105792,2020-12-13 10:35:46,ellen_coyle,"RT @DarrenEuronews: BREAK: Angela Merkel announces German national lockdown - Wednesday until Jan 10th #coronavirus

🔸Non essential shops t…",0,9,,Republic of Scotland,en,891670309,EC,2752,2790
74,1338070099761229826,2020-12-13 10:35:46,MKuefner,"Merkel announces full #coronavirus lockdown in Germany from Wednesday 16 Dec. 
- only food stores remain open
- sch… https://t.co/5niMTbMtZY",3,2,,"Berlin, Germany",en,2169791295,Michaela Kuefner,6023,1020
75,1338070086347857923,2020-12-13 10:35:43,_AntwortIstJa_,"RT @watch_union: Ich kann es übrigens nicht mehr hören, dass die Politiker:innen die jetzige Lage nicht vorhersehen konnten. 

Die Kanzleri…",0,12,,,de,1232445672206536704,Die Antwort ist: Ja.,0,0
76,1338070072561164289,2020-12-13 10:35:40,NaLaTabitha,"RT @watch_union: Ich kann es übrigens nicht mehr hören, dass die Politiker:innen die jetzige Lage nicht vorhersehen konnten. 

Die Kanzleri…",0,12,,"Rheinland-Pfalz , Deutschland",de,903342390798376960,NaLa🌟❁,53,47
77,1338070060108292099,2020-12-13 10:35:37,K11Marc,RT @SkyNews: #Coronavirus: German Chancellor Angela Merkel says existing measures have failed to get the #coronavirus outbreak under contro…,0,3,,"New York, NY",en,879692367393161216,Marc B.,3870,5001
78,1338070057423941632,2020-12-13 10:35:36,Kameoo_,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,182,,France,fr,1142815718360195074,Kam🇲🇦,1047,753
79,1338070057230938112,2020-12-13 10:35:36,GlobalPandemics,"ALERT: With the greenlight of the FDA's emergency use
authorization, Pfizer/BioNTech coronavirus vaccines are start… https://t.co/NDgurWjd5i",0,0,,WORLDWIDE,en,166326763,GlobalPandemic.NET,25889,25721
80,1338070047156297732,2020-12-13 10:35:34,twizybaby1,Es würde das Vertrauen in die #Impfung erhöhen wenn sich erst der Bundestag impfen lassen würde. Deshalb ist die Id… https://t.co/nU9yqxA0Re,1,1,,"Baden-Württemberg, Deutschland",de,768806740431343616,Twizy,403,221
81,1338070025098330112,2020-12-13 10:35:28,AnubhavN1,RT @HPCL: The world has been living under the shadow of a global pandemic for some time now. We are all aware about the precautions to be t…,0,14,,,en,1278353268033253376,Anubhav N.,2,5
82,1338070023131238405,2020-12-13 10:35:28,WoodfordinDK,Speaking of #Germany its national #COVID19 lockdown has been extended into the New Year and new #coronavirus restri… https://t.co/pX2X055IGW,0,0,,"Faaborg, Denmark",en,174137795,Shane Woodford,13257,2698
83,1338070005519446016,2020-12-13 10:35:24,RukenGulen,"Çılgın kalabalık, Kuru kalabalık, Başı kalabalık, Laf kalabalığı ve 
Gönlü kalabalıktan da uzak duralım • • (ヅ)… https://t.co/gZP5SlWZsW",4,0,,,tr,351611380,Gülen,23755,20946
84,1338069989157429249,2020-12-13 10:35:20,HHahnlein,"RT @DrPuerner: Ohne langfristige Strategie ist ein harter #Lockdown wertlos.  

Priorität muss der Schutz derer haben,die von #COVID19 star…",0,70,,,de,835031537921949696,heike hähnlein,59,235
85,1338069988591202306,2020-12-13 10:35:20,DesparateGuy,Jetzt verkünden sie Offensichtliches als neue Erkenntnis: Kindern können sich infizieren und die Infektion weiter g… https://t.co/wazE0mDFrr,0,0,,"Berlin, Deutschland",de,1040314776419819522,Wir können das besser! 🏴,177,825
86,1338069986930200576,2020-12-13 10:35:19,SylvieTurpo,"RT @Lanf040264: Prodotto del ""liberi tutti"" di questa estate:
l'#Italia ha il bilancio delle 𝐯𝐢𝐭𝐭𝐢𝐦𝐞 𝐝𝐚 #coronavirus 𝐩𝐢𝐮̀ 𝐚𝐥𝐭𝐨 𝐢𝐧 #Europa,…",0,1,,,it,1217443758549147648,Sylvie Turpo,341,742
87,1338069984946352128,2020-12-13 10:35:19,EFEnoticias_ES,"RT @EFEnoticias: CRÓNICA | Navidad en 2020: el año de los roscones y dulces de tamaño reducido.  #coronavirus

https://t.co/m0IdG7kUYv http…",0,2,,España,es,2385189516,EFEnoticias España,9114,89
88,1338069984099119106,2020-12-13 10:35:19,47thIndiana,"RT @brendaoncats: https://t.co/QSEhS5X1pg
#coronavirus #covid19 #pandemic #safety",0,2,,,und,971314556,David Williamson #47thIndiana,1886,1852
89,1338069956504612864,2020-12-13 10:35:12,InvariantPersp1,#coronavirus #SARSCoV2 #COVID19 https://t.co/4D9crFq5zV,0,0,,,und,1109642793582903296,Invariant Perspective,2446,5002
90,1338069941757554690,2020-12-13 10:35:08,vmrwanda,"RT @CDHKedition: #HK registered 95 new #COVID19 infections on Sunday, including 41 local cases from untraceable sources — the highest spike…",0,3,,,en,292898515,Victor Rwanda,917,907
91,1338069937730908160,2020-12-13 10:35:07,tolatender,Working from home is a solution for Small Businesses amid COVID-19 Social Distancin g. Read more:… https://t.co/9BDzAx1aic,0,0,,South Africa,en,723708224852119552,TolaTENDER.co.za,7127,4708
92,1338069932039401475,2020-12-13 10:35:06,vmrwanda,RT @SkyNews: #Coronavirus: German Chancellor Angela Merkel says existing measures have failed to get the #coronavirus outbreak under contro…,0,4,,,en,292898515,Victor Rwanda,917,907
93,1338069925383057409,2020-12-13 10:35:05,dafLOh,RT @watch_union: Ich bin nicht als Markus-#Söder-Fan bekannt. Aber jeder Tag mit strengen #Lockdown rettet Menschenleben. Daher halte ich d…,0,9,,3rd Planet from the Sun,de,75656366,Do Dadiada Da,505,410
94,1338069920987443201,2020-12-13 10:35:03,Martin14098018,"RT @DrPuerner: Weniger Influenza-Fälle gemeldet!!!

Influenza
Kranke Personen👉wenig Tests👉positiv👉Meldung👉Ende

Covid
Egal👉viele Tests👉posi…",0,169,,,de,1159004536662573056,Martin,45,96
95,1338069920471523328,2020-12-13 10:35:03,Roxana50189220,"RT @watch_union: Ich kann es übrigens nicht mehr hören, dass die Politiker:innen die jetzige Lage nicht vorhersehen konnten. 

Die Kanzleri…",0,12,,,de,1149428198725378048,Roxana,283,2619
96,1338069919099985923,2020-12-13 10:35:03,Nobody_see_me,"Ab Morgen beginnt für 48 Stunden Deutschlands größter Ausverkauf...👌🏻
Du bist nicht du, wenn du nicht shoppen kanns… https://t.co/sWFftCUiOv",0,0,,"Main-Taunus-Kreis, Hessen",de,793722660,𝑴𝒓. 𝑵𝒐𝒃𝒐𝒅𝒚™,444,989
97,1338069905447546880,2020-12-13 10:35:00,eltribuno,#SALTA #PANDEMIA #CORONAVIRUS Alerta en Metán por 22 casos positivos de COVID-19 en zona norte… https://t.co/IwPnHC7K1u,0,0,,"Salta, Argentina",es,8877352,El Tribuno,117752,901
98,1338069889735647232,2020-12-13 10:34:56,jeperego,.@Markus_Soeder  a effetto ( titoli pronti per giornali): “Questa non era una normale conferenza dei premier dei La… https://t.co/x1coudPzTV,0,0,,Monaco di Baviera e Italia. ,it,2227711330,Jeanne Perego Schimpke,8619,1997
99,1338069886610845696,2020-12-13 10:34:55,BerlinBilingual,RT @dw_politics: Here’s a first look inside one of #Berlin’s six #coronavirus #vaccination centers. It could be up and running in just a co…,0,22,,Berlin,en,1204856826464002050,Berlin Bilingual School (BBS),48,44
100,1338069879786778627,2020-12-13 10:34:54,SkyNews,#Coronavirus: German Chancellor Angela Merkel says existing measures have failed to get the #coronavirus outbreak u… https://t.co/ArPvwNUp2N,11,4,,"London, UK",en,7587032,Sky News,6639960,27
101,1338069860971110403,2020-12-13 10:34:49,LamiriOumaima,"#Breaking 
The National Center for Disease Control records 21 deaths from the #Coronavirus, 899 new cases and 1056… https://t.co/3ZexTY8kwZ",0,0,,Tunis,en,1337395298516279300,Lamiri Oumaima,3,49
102,1338069853576462336,2020-12-13 10:34:47,EngelMichelmann,"RT @watch_union: Die Entscheidung hätte man auch schon länger haben können. 

Der Bund hat sich nun endlich durchgerungen, den Verkauf von…",0,32,,,de,1037369462192787456,Engel Michelmann,31,17
103,1338069830868508675,2020-12-13 10:34:42,osianrajon,"This is for you #coronavirus 🦠
#usemask 😷 https://t.co/A121OiZTsj",0,0,,"Dhaka,Bangladesh",en,1544088169,Osian Rajon,10,22
