Num,Id,User,Text,Likes,Retweets,Geolocation,Location,Language,User_Id,User_Name,User_Followers,User_Following
20,1338067580167188480,ktnewsonline,"สถานการณ์ COVID-19 สรุปยอด ณ วันที่ 13 ธ.ค. 63 เวลา 17.00 น.     

#ไวรัสปอดอักเสบ #โควิด19 #โคโรนาไวรัส #Covid_19… https://t.co/lsKoD9ofyf",0,0,,Thailand,th,19059272,กรุงเทพธุรกิจ,787309,728
21,1338067575712985093,cinar_bahattin,"@HasipKAPLAN Maske=bordo bereliler,
Mesafe=İha/Siha ve Komandolar,
Temizlik =Hainlerin leşleri 
TAMAM… https://t.co/sOQ6gaqxAd",0,0,,,tr,1307366593027026946,BAHATTİN ÇINAR,320,1124
22,1338067573682937864,JulieGildie,RT @pash22: 'We need help': Sweden's capital sounds the alarm as its hospitals fill with #coronavirus patients https://t.co/LpttXgJSmr via…,0,3,,,en,1188879879640616961,Julie Gildie,182,337
23,1338067569803145216,lilith001975,RT @RealityFirst3: #Covidioten #coronavirus #coronamaatregelen #CoronaVaccine #Coronazis,0,1,,,und,1300723328227958786,Lilith001975,141,238
24,1338067569404751874,_AntwortIstJa_,"RT @watch_union: In welcher Parallelwelt lebt Michael Müller?

Mit der Realität hat sein Geschwafel jedenfalls nichts zu tun. /TN #Coronavi…",0,3,,,de,1232445672206536704,Die Antwort ist: Ja.,0,0
25,1338067538115244035,realMarijen,RT @mdr_th: In ganz Thüringen ab Mittwoch kein Präsenzunterricht in den Schulen mehr. Bis 22.12.2020 und zw. 4. und 8.1.2021 wird zuhause g…,0,4,,"Berlin, Deutschland",de,2945708297,Fabio Precek-Jimènez,165,2239
26,1338067536999538696,LesTeurs,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,172,,,fr,1321830210283671553,Les Média(twit)teurs,28,338
27,1338067530968084481,FSA_ToGo,"@FCKAFD_RAUS Was ich immer gesagt habe: die menschliche Zivilisation endet nicht mit einem Knall, sondern mit Impfg… https://t.co/r9EW31VBpm",0,0,,,de,1150838207598223361,FSA,139,1006
28,1338067521761472514,kankoll1,"I love democracy
#memes2020 #life #coronavirus #meme https://t.co/xVjyZgjhTn",1,0,,,en,1304350663820926976,KanKoll,4,144
29,1338067518750150656,Redwhite2020M,#lockdown #tagderschande #keinrechtsstaatmehr #Boellerverbot #Coronavirus #bundesregierungabwählen,0,0,,,und,1325456447900094470,redwhite2020_muc,0,5
30,1338067506003652609,FalcionelliFede,"RT @europainitalia: Twitter, Facebook, Microsoft, Google, TikTok hanno risposto a invito della #CommissioneUE impegnandosi a combattere la…",0,6,,,it,489501389,Federico Falcionelli,1299,4998
31,1338067504929923073,15thCole,learned a lot this year 💯 #proud #2021vision #endof2020 #coronavirus,0,0,,"Pennsylvania, USA",en,908531985961881601,iiGOT1️⃣5️⃣NOGEICO 🦎🦎NEED GEICO// ⑮𝔱𝔥 𝔠𝔬𝔩𝔢,58,223
32,1338067501117222916,BeckySm54509086,RT @RidgeOnSunday: NHS chiefs have warned of a 'third wave' of #coronavirus cases amid concerns over the relaxation of rules over Christmas…,0,10,,,en,1175894928146206720,Becky Smith,15,1865
33,1338067487922016256,LilianaLucko,Que Enorme tristeza q nadie le de la importancia q tiene! Se burlan de los miles de muertos y ya nadie respeta nada… https://t.co/B29B8uCBfb,0,0,,Ciudad Autónoma de Buenos Aire,es,802311734149218304,Liliana lucko,9463,9786
34,1338067486705594368,YayaHtch,"RT @ulyssepariser: En attendant les vaccins... 16 millions de cas de #Covid19 aux États-Unis, et 295.000 morts..  Au printemps, les project…",0,9,,France,fr,79586178,Yaya,251,274
35,1338067467835420672,Schneimere,"Und die Frage, die mich nun schon den ganzen Sonntag umtreibt: Wird er nun Cornflakes essen? 🤔 ⁦@Blickch⁩… https://t.co/rlMK2ZM9AO",0,0,,Uster,de,1426055527,Meret Schneider,2184,605
36,1338067462911381505,PauvertJ,"RT @FabDelettres: Toi aussi réalise ton tuto comme le spécialiste du JT de @TF1 

🙏🏻
#MerciDocteur #Coronavirus #covid #OnEstSauvé https://…",0,11,,"Mouzillon, Pays de la Loire",fr,428300034,Jay,69,234
37,1338067458234720259,riazbhana,RT @kapkobe24: @SonnyBWilliams The #genocide of a million #uighur #Muslims by #China and the incompetence denial and handling of tge #coron…,0,1,,Malawi,en,331514303,Riaz Bhana,553,493
38,1338067456611536897,MrBark5,"#Pressekonferenz #CoronaVirusDE #lockdown 
Das #coronavirus ist das größte Geschenk für #jensspahn : Er braucht nic… https://t.co/uU8tYQEqXW",0,0,,,de,1303761022847799296,MrBark,5,13
39,1338067442963255298,DexterMorganbcn,"RT @scasanovam: Los médicos, enfermeras, personal sanitario...que entregan cada día su vida hasta el agotamiento físico y mental, tras casi…",0,73,,,es,919983219331788800,Boys don't cry,1071,1321
40,1338067426223792128,pilichus,RT @Txetxujm: Postura de PP y VOX en la pandemia del #coronavirus https://t.co/oT5Xr2csHS,0,9,,,es,2827419736,pili bu,1402,801
41,1338067425070288901,SanteIntime,Le déconfinement approche. Bonne ou mauvaise chose ? Qu'en pensez-vous ? Va-t-on de nouveau pouvoir revoir l'élu-e… https://t.co/fEqnHQRhg6,0,0,,,fr,1089925189088018434,Santé Intime,51,42
42,1338067412831379457,erfolgimteam,"Eine ganz gute Übersicht, was gerade wo erlaubt ist, bietet die App Nina. Dazu Unwetterwarnungen und bzw. Meldungen… https://t.co/9cUPGAnQjy",0,0,,,de,43866015,TimosBlickfang​,195,62
43,1338067401586454529,Milo20i,"RT @you_trend: 🔴 #Coronavirus, il riepilogo ufficiale regione per regione: https://t.co/rxA911GBlM",0,14,,Over the World ,it,194943640,Danilo De Matteis,432,932
44,1338067397056602113,S2Recruitment,"If you missed last week's free Zoom session, fear not!

Go to our YouTube channel and watch webinar at your leisure… https://t.co/qrwmvJjJe5",0,0,,"North Wales, UK",en,732505418371596288,S2 Recruitment,222,311
45,1338067397014589441,Parentkind,"School children in #Wales should wear masks in lessons, teaching union NEU says. 
https://t.co/O1teJpuXRR #schools #facemasks #coronavirus",1,0,,UK,en,24673751,Parentkind,9061,6097
46,1338067380417785856,Milo20i,"RT @you_trend: 🔴 #Coronavirus, 12/12/20

• Attualmente positivi: 684.848
• Deceduti: 64.036 (+649)
• Dimessi/Guariti: 1.076.891 (+24.728)
•…",0,97,,Over the World ,it,194943640,Danilo De Matteis,432,932
47,1338067368497573890,Comrade_Otoa,#coronavirus is real https://t.co/39QRw2v8UT,0,0,,"ÜT: 51.729134,-1.21429",en,40205484,Comrade Otoa,13537,3256
48,1338067353280655362,dailypakistangl,"RT @DailyPakistan: ماہرہ خان کو کورونا ہو گیا 

https://t.co/kOaqhimgPq

@TheMahiraKhan 
#MahiraKhan 
#coronavirus 
#Covid_19",0,2,,"Lahore, Pakistan",ur,3024265320,Daily Pakistan Global,9995,11
49,1338067340500606976,JackMarsman,"Dit, landgenoten, vrienden en volgers is louter en alleen het gevolg van het wanbeleid vanaf het begin in de aanpak… https://t.co/ZgjaT2BMBW",0,0,,"Sint-Petersburg, Rusland",nl,1187136625,Jack Marsman #Woordkunstenaar 🚜☦️🇷🇺,5360,3920
50,1338067327414366208,runinho13,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,172,, France,fr,333563069,Alex   ⭐️⭐️,1905,1537
51,1338067313950593026,EnrikeLopez,RT @EGangui: Decirme que lo veis #Navidad #coronavirus https://t.co/85H9vtaMmx,0,1,,"Leon, Spain.",es,71779714,Enrique López (con😷)#PruebasRapidas #COVIDcero,3508,4985
52,1338067307143303170,taizidang19732,"RT @nikki_miumiu: From President of the United States to ppl who mentioned #Wuhan #Coronavirus, they are either flagged or got suspended, b…",0,46,,,zh,955325949117005825,taizidang1973,259,538
53,1338067296644808705,DebbieJoeJoe,RT @RepSwalwell: Stop wearing face masks. #coronavirus,0,3914,,,en,785562208864313349,Farmer Jo,2207,4999
54,1338067291620192260,bodegalacancela,"RT @TigressEllie: 148+ school staff dead up to June when attendance was less than 25%.
How many now ?
#coronavirus #COVID19 #SARSCoV2 https…",0,30,,"Lanzarote, Canary Islands",en,1090242281305763843,Bodega La Cancela,39,106
55,1338067286712848386,JonAustinjourn1,"Also 564 infected out of 100,000 people per week in #Basildon is still only 0.56 % of its population catching #coronavirus:",0,0,,"London, England",en,3072699339,JonAustinReporter,2811,835
56,1338067281268666369,Ouzo_Latteq,"Silvester fällt aus.
#lockdown #merkel #coronavirus 
#phoenix",1,0,,,de,1120973470895091714,Ouzo Latte(q),60,395
57,1338067275702788096,FritsSmedema,RT @VenitaDAnthonij: Net het bericht ontvangen dat de onderbouw van de basisschool van onze meiden de komende week dicht gaat. Leerkrachten…,0,8,,Nederland,nl,999100314,FritsSmedema🚜🐷🚜🐮⚓️,581,1596
58,1338067272146030593,Covid19Vi,"🦠 ""Звезда театрала"" назвала лауреатов 2020 года

📰 Награждение прошло при 25-процентной заполняемости зала

📣… https://t.co/GBjE2Xiuxl",0,0,,,ru,1247932686272024576,Центр информирования о коронавирусе,3,23
59,1338067258845835266,iwcponline,RT @iwcponline: COVID LATEST: Three new coronavirus cases as Island's infection rate falls https://t.co/dwuywVJ3bO @iwcponline @IOWNHS @iwi…,0,1,,Isle of Wight,en,58759041,Isle of Wight County Press,20777,316
60,1338067224851058693,domstadtmedicus,"RT @domstadtmedicus: @BILD Ich dachte, das neue „#InfektionsSCHUTZgesetz“ wurde verabschiedet, damit die Regierung SCHNELL auf Krisen reagi…",0,1,,"Köln, Deutschland",de,1241284721281302528,Domstadt Medicus,23,71
61,1338067211034963968,sequundi,"Ich glaube es nicht: Man müsse den #Schulen Zeit lassen, auf Distanzunterricht/Wechselunterricht umzustellen.
WAS H… https://t.co/2F7iwUUagd",1,0,,"Bayern, Deutschland",de,2863500195,h.al,98,188
62,1338067209025941504,unbiasedfreedom,RT @RepSwalwell: Stop wearing face masks. #coronavirus,0,3914,,"Florida, USA",en,1289964113456779264,Calling Out Morons,68,59
63,1338067200234708992,Mawandinho,"RT @AlexandravonNah: #Germany toughens its anti-#COVID measures, starting this Wednesday.
German Chancellor Merkel has announced the closur…",0,2,,,en,51049990,M A W A N D E,1169,628
64,1338067197588082689,gala_gala__,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,172,,"Marseille, France",fr,918816247986507777,𝕾𝖚𝖓𝕶𝖊𝖓𝕽𝖔𝖈𝖐,165,483
65,1338067177556078592,Karottenlurch1,Angela #Merkel: #Gottesdienste bleiben unter Auflagen erlaubt. Friseure müssen schließen. Ich kann doch nicht unfri… https://t.co/kso7F9BRDf,0,0,,,de,1298918969907216385,Karottenlurch,14,107
66,1338067147604496385,gabriellaparisi,"#Coronavirus, Capua: ""Per #Trump cura da 1 milione di euro con anticorpi monoclonali""
#COVID https://t.co/iZpEMddiqC",0,0,,Hyperspace,it,281563139,Gabriella Parisi,1409,187
67,1338067143141842946,corona_tweet,"RT @DailyPakistan: ماہرہ خان کو کورونا ہو گیا 

https://t.co/kOaqhimgPq

@TheMahiraKhan 
#MahiraKhan 
#coronavirus 
#Covid_19",0,2,,,ur,1254835769316904961,CoronaTweetBot,213,0
68,1338067142642708483,SmitaKenkare,"RT @CoronaEnglish: Dear World, please look at #Switzerland for once. This is happening and still people are enjoying their Sunday lunch out…",0,11,,"Geneva, Switzerland",en,991302205817966592,Smita Yogesh Kenkare,80,78
69,1338067138079322112,FlorianLudwig,Das ist KEIN „harter Lockdown“! #coronavirus,1,0,,"Bonn, Deutschland",de,74136429,𝙵𝚕𝚘𝚛𝚒𝚊𝚗 𝙻𝚞𝚍𝚠𝚒𝚐™,126,484
70,1338067134879047680,SergioMatalucci,"BREAKING - #Germany's Angela Merkel on Sunday ordered most stores to shut from Wednesday, along with schools and da… https://t.co/yWiSSZQpMA",0,0,,DE - BE - IT,en,54301436,Sergio Matalucci,1133,1137
71,1338067134233120776,corona_tweet,RT @f_profili: #indicatori ISS: colori più omogenei ma ancora livelli differenziati di rischio tra #regioni. La #toscana resta #arancione.…,0,1,,,it,1254835769316904961,CoronaTweetBot,213,0
72,1338067122996596736,me_nargis,"RT @Im_NJA: #این_آر_او_کے_سوالی
Despite reports of #Coronavirus puffiness and terrorism by secret agency, PDM will play tomorrow with peopl…",0,7,,Pakistan,en,1335867658420490242,Nargis khan,3,40
73,1338067121591422976,CarrieriLorenzo,RT @YanniKouts: #Germany increases #coronavirus lockdown measures. Retail stores to be shut down starting Wednesday throughout holiday seas…,0,2,,,en,1496214937,Lorenzo Carrieri,431,2628
74,1338067121130123264,corona_tweet,"RT @bitcoinconnect: PS5 And Xbox Series X+S Sold Out Again, What To Expect For Restocks SEE MORE HERE ==&gt; https://t.co/8PTOFMzQGs  #GeForce…",0,1,,,en,1254835769316904961,CoronaTweetBot,213,0
75,1338067117145542656,satsperclick,"RT @Oxfam: .
@IMFNews
 gold reserves have soared $19bn since #coronavirus pandemic.

This is more than the entire debt the poorest countrie…",0,21,,3/2(PromisedLand)=5/4=2minutes,en,537586334,"20K is the All-TIME SCALP (Dream: ""14500=bitcoin"")",267,253
76,1338067099739099136,aboutpkofficial,"90 percent of poor to remain deprive of #coronavirus vaccine, says #Oxfam 

#poverty #Oxfam #Pakistan #Covid_19… https://t.co/t39zChBvjz",0,0,,Pakistan,en,1192021023144714241,About Pakistan,198,384
77,1338067091182800898,corona_tweet,"RT @ThorstenKerkho1: Nach dem durch Sie Herr @OlafScholz mit Ihrer #SPD der Mindestlohn auf 12€ angehoben worden ist, sagen #Soloselbständi…",0,1,,,de,1254835769316904961,CoronaTweetBot,213,0
78,1338067068453842945,Ishasyd,RT @sif_shakoor: It's clear that Pakistanis want Amazon as #AmazonInPakistan trends on #Twitter. People are requesting #Amazon CEO #JeffBez…,0,1,,"Mardan, Pakistan",en,1329010609564872705,Mishal Ali,2,4
79,1338067061369688064,corona_tweet,"RT @AquiCastellon: 🦠#CORONAVIRUS | Benicarló registra más de un centenar de positivos por coronavirus en las dos últimas semanas
https://t.…",0,1,,,es,1254835769316904961,CoronaTweetBot,213,0
80,1338067035515981824,corona_tweet,RT @CAMPAIGNFORCARE: #US #coronavirus:#Covid19 #hospitalizations hit #record high 7th straight day. Took nation more than 8 months to reach…,0,1,,,en,1254835769316904961,CoronaTweetBot,213,0
81,1338067025554526209,DailyPakistan,"ماہرہ خان کو کورونا ہو گیا 

https://t.co/kOaqhimgPq

@TheMahiraKhan 
#MahiraKhan 
#coronavirus 
#Covid_19",2,2,,Lahore,ur,79817098,Daily Pakistan,239640,29
82,1338067013340696576,CasierDominique,RT @Facts_n_Facts: #COVID19 [Breaking] #ecoles #enfants 🇰🇷: Ce sont 1 000 écoles qui ferment en Corée du Sud avec la remontée des cas de #C…,0,22,,hauts de seine,fr,2424368102,forces de frappe française # Patriote,318,353
83,1338067009737789441,__xuve,"RT @Mediavenir: 🇫🇷 FLASH - Le professeur Philippe #Juvin ""espère"" que le #vaccin contre la #COVID19 fonctionnera, car sinon ""1 à 10 épisode…",0,172,,,fr,3325401766,eva,431,148
84,1338067008827613185,donkamion78,"RT @DrPuerner: Ohne langfristige Strategie ist ein harter #Lockdown wertlos.  

Priorität muss der Schutz derer haben,die von #COVID19 star…",0,66,,,de,1109532876310302721,conspiracyguy,2663,3623
85,1338067008668229632,Kunstreiz,RT @mdr_th: In ganz Thüringen ab Mittwoch kein Präsenzunterricht in den Schulen mehr. Bis 22.12.2020 und zw. 4. und 8.1.2021 wird zuhause g…,0,4,,,de,388192883,Kunstreiz,849,321
86,1338067007208648705,f_profili,#indicatori ISS: colori più omogenei ma ancora livelli differenziati di rischio tra #regioni. La #toscana resta… https://t.co/A11ZwpYt7U,0,1,,"Firenze, Toscana",it,463882237,Francesco Profili,262,459
87,1338066997184241668,bitcoinconnect,"PS5 And Xbox Series X+S Sold Out Again, What To Expect For Restocks SEE MORE HERE ==&gt; https://t.co/8PTOFMzQGs… https://t.co/QXR5fdpXB6",0,1,,,en,306127388,All Express News,1201,35
88,1338066995200331778,Tweelingetje2V,"RT @Opinieleader: Uitvinder ‘VACCIN’ neemt het zelf NIET!

Jij wel????

#Corona #coronamaatregelen #coronatest #CoronaCrisis #coronavirus #…",0,20,,,nl,807640520646217728,V.de Poorter🚜,803,549
89,1338066994923515910,ChrisBrey1,"RT @watch_union: In welcher Parallelwelt lebt Michael Müller?

Mit der Realität hat sein Geschwafel jedenfalls nichts zu tun. /TN #Coronavi…",0,3,,München,de,787774580,Christian Brey,1622,3168
90,1338066992880873473,CasierDominique,"RT @Maud2Nimes: #20decembre2020 en #Macronie :
❌ #liberteDeLapresse
❌ #liberteDeManifester 
❌ #LiberteDInstruction 
❌ #liberteDeCulte
❌ #li…",0,12,,hauts de seine,fr,2424368102,forces de frappe française # Patriote,318,353
91,1338066990234300418,TBri17,"RT @watch_union: In welcher Parallelwelt lebt Michael Müller?

Mit der Realität hat sein Geschwafel jedenfalls nichts zu tun. /TN #Coronavi…",0,3,,,de,1253666126782857226,TorBri17,230,572
92,1338066984873889793,ThorstenKerkho1,"Nach dem durch Sie Herr @OlafScholz mit Ihrer #SPD der Mindestlohn auf 12€ angehoben worden ist, sagen… https://t.co/1SOWvn9mNF",0,1,,"Lübeck, Deutschland",de,1247059961110282241,Thorsten Kerkhoff,10,97
93,1338066978108559366,cafid_carmen,RT @mdr_th: In ganz Thüringen ab Mittwoch kein Präsenzunterricht in den Schulen mehr. Bis 22.12.2020 und zw. 4. und 8.1.2021 wird zuhause g…,0,4,,"Erfurt, Thüringen",de,1186213567961415682,Carmen Fiedler,202,391
94,1338066965772922882,thearmaghankhan,"RT @PdmapunjabO: 127,212 individuals have been infected with #Covid19 in Punjab till 10 pm December 12, 2020. 686 new #coronavirus cases ha…",0,4,,Perth,en,930802544514760704,Armaghan Khan,541,79
95,1338066944067588096,AquiCastellon,"🦠#CORONAVIRUS | Benicarló registra más de un centenar de positivos por coronavirus en las dos últimas semanas
https://t.co/bBpfroNkxc",0,1,,,es,1217367751955820544,AquíCastellón,341,674
96,1338066928259231746,EnrikeLopez,"RT @AndrsValarezo6: #10Dic #Coronavirus #Venezuela
Aire con un cartón: Las precarias condiciones del hospital doctor Luis Ortega en el esta…",0,12,,"Leon, Spain.",es,71779714,Enrique López (con😷)#PruebasRapidas #COVIDcero,3508,4985
97,1338066905190567936,abigaci,"RT @tambonic: Parte #coronavirus Neuquén: 3 personas fallecidas, 205 altas y 147 nuevos casos (228 en total): Neuquén 41, Las Lajas 20, Cut…",0,4,,,es,289021519,Abigail♤,812,576
98,1338066877843709952,Seda32995713,RT @ozglmhmt7: Yüreğe sevdiren bin şükürü'm🕊️❤️ #GoenuelDağı #coronavirus #ask #SonDakika #evdekal #cumartesi https://t.co/DYD6Kb9Hqn,0,9,,,tr,1285230463137849345,Seda 🌸,798,1108
99,1338066872173027330,markrudolph2701,RT @Blog1600Penn: #Coronavirus: Wenn in der @tagesschau mehr über die Pandemie in den #USA als über die Rekordzahlen im Inland berichtet wi…,0,2,,,de,1737187820,Mark Rudolph 🇫🇷 🇮🇱 🇺🇸 🇩🇪,2457,1334
100,1338066846797484032,EnrikeLopez,RT @EFEnoticias: La Organización Mundial de la Salud (OMS) registró en las últimas 24 horas más de 13.000 muertes globales y 692.000 nuevos…,0,310,,"Leon, Spain.",es,71779714,Enrique López (con😷)#PruebasRapidas #COVIDcero,3508,4985
101,1338066842594783241,MrGibberish,RT @Aitchweb: When you’re so puffed up with your own importance &amp; too preoccupied directing your pompous preachy venom at everybody else…,0,1,,,en,19996457,The Real DJ,502,894
102,1338066821807747074,Anton_DomX,RT @JaredPushner: There have been over 10 million new cases since Donald Trump announced we're rounding the turn on covid. #coronavirus htt…,0,1,,,en,1246138637156323335,🌹 🇧🇷 Antonio D. 🇧🇷 🌹,672,1701
103,1338066820511592448,CAMPAIGNFORCARE,#US #coronavirus:#Covid19 #hospitalizations hit #record high 7th straight day. Took nation more than 8 months to re… https://t.co/VAfVCFtgdP,0,1,,"Los Angeles, California, USA",en,37360911,CAMPAIGN FOR CARE,2470,4999
104,1338066796063182849,gute_mine9,"RT @laurinlues: Viele wichtige und gute Maßnahmen wurden heute getroffen.
Aber mal schauen, wann Kultusministerin #Eisenmann und die Landes…",0,1,,,de,900735643512434688,Gute Mine_moodlet sich so durch,114,137
105,1338066793760391168,siouxmimir,"RT @AlArabiya_Eng: Eager for a live music show after months of social distancing, more than 1,000 #Barcelona residents gather to participat…",0,1,,house of extravaganzza,en,120534185,violitefilms,798,561
106,1338066760193499148,Rebeccasmt,RT @RidgeOnSunday: NHS chiefs have warned of a 'third wave' of #coronavirus cases amid concerns over the relaxation of rules over Christmas…,0,10,,,en,2255251278,Rebecca Thomas,5433,5496
107,1338066726043471874,111Meeto,RT @Fatma_alhrbi: هذي خطتهم لسنه 2020 تم خلق #فيروس #كورونا #كوفيد_19 لاجبار البشر بأخذ الحمض النووي الثلاثي ( ليش ) طبقة من العبيد لخدمة ا…,0,5,,,ar,3659484499,وَقُلْتُ (مطر),11,178
108,1338066725045202946,iHeroM7,"Taste of your own medicine 💉 
#Covid_19 #coronavirus",0,0,,"Dubai, United Arab Emirates",en,2794104526,Architect,179,286
109,1338066723778551811,Buehlandreas,RT @mdr_th: In ganz Thüringen ab Mittwoch kein Präsenzunterricht in den Schulen mehr. Bis 22.12.2020 und zw. 4. und 8.1.2021 wird zuhause g…,0,4,,Ilmenau,de,2279896372,Andreas Bühl,810,483
110,1338066717025722375,derdanym,@DubroDolic @smbraun @SylK1966 Ich möchte ihnen nicht verbieten 2 Masken zu tragen. Ich bin kurzatmig und habe Prob… https://t.co/k5M94egYdR,0,0,,"Berlin, Deutschland",de,1221372535624912897,Derdanym (Reisender in der Zeit),69,95
111,1338066714794356738,RidyardColin,RT @MultiverseCC: Quarantine https://t.co/ixagjGYjP5 via @MultiverseCC #WomenofHorror #HorrorFam #horror #QuarantineLife #COVID19 #coronavi…,0,7,,North Wales,it,1208784590304956416,Colin is writing,6324,5857
112,1338066712072245249,watch_union,"In welcher Parallelwelt lebt Michael Müller?

Mit der Realität hat sein Geschwafel jedenfalls nichts zu tun. /TN #Coronavirus",18,3,,Deutschland,de,859101343356772353,UnionWatch,27371,3613
